id,title,descriptions,location,OPERATING_HOURS,ENTRANCE_FEE,PARKING,IMAGE
24,불국사,"불국사는 지난 1995년 석굴암, 서울의 종묘, 합천 해인사의 팔만대장경과 함께 우리나라에서 가장 먼저 유네스코 세계문화유산에 등재되었다.

경주여행을 한 번도 오지 않은 사람은 있어도 경주에 와서 불국사와 석굴암을 보고 가지 않은 사람은 없을 것이다.
그만큼 우리나라를 대표하는 걸출한 문화유산이다.

불교를 나라 신앙으로 믿었던 신라인들은 그들이 해낼 수 있는 최고의 건축 기법과, 최고의 노력과, 최고의 정성으로 '부처님의 나라' 불국사를 건설했다.
불교교리를 사찰 건축물에 잘 녹여내 이상적인 가람 배치를 이루고 있다.

목조건축에서 쓰인다는 '그랭이 기법'으로 잘 짜여 진 가구식석축(보물제1745호)이 부처님의 나라를 떠받치고 있다.
석축 위에 범영루라는 누각이 있는데 불교세계의 중심에 있다는 수미산 정상을 의미한다.
이 천상의 세계로 오르는 계단이 청운교와 백운교(국보제23호)이다.
청운교와 백운교를 올라 자하문을 지나면 석가모니 부처를 모신 대웅전과 마주할 수 있다.
양 쪽에 대웅전을 호위하듯 선 다보탑(국보제20호), 석가탑(국보제21호)과 함께.

대웅전 서편에는 서방 극락정토의 영역, 극락전이 있다.
극락전 영역으로 오르는 계단은 청운교 백운교와 함께 국보로 지정된 연화교와 칠보교(국보제22호)이다.
이 다리를 올라 극락세계의 정문인 안양문을 지나면 금동아미타여래좌상(국보제27호)을 모신 극락전과 만나게 되는 구조다.

두 곳의 주요 법당 외에도 강당건물인 무설전, 관세음보살을 모신 관음전, 진리의 빛으로 어둠을 쫓는다는 금동비로자나불좌상(국보제26호)을 모신 비로전이 조화롭게 배치되어 있다.",경주시 진현동 산15,연중무휴,무료,"불국사 정문주차장(진현동 산70-1, 유료), 불국사 공영주차장(불국로 873-243,유료) 이용",tourist_images/불국사_CRC4qKs.jpg
25,비단벌레 전기자동차,"비단벌레는 옥충(玉蟲)이라고도 하며 딱정벌레목 비단벌레과에 속하는 몸길이 3~4cm정도로 우리나라에 서식하고 있는 곤충중 가장 아름답다. 역사적 문화적 가치가 높은 곤충으로 문화재청에서 2008년 천연기념물 제 496호 지정하였다. 현재는 변산반도, 해남 두륜산, 완도, 내장산 등 일부지역에만 서식하고 있으며 개체수가 매우 적어 멸종위기 야생동식물 2급으로 지정 보호하고 있다.

한 여름철 7-8월에 초록색 또는 금록색의 화려한 날개 짓으로 벚나무, 느티나무, 팽나무, 후박나무 등 오래된 활엽수림에 짝을 찾아 날아다니며 애벌레의 먹이가 되는 이 나무들의 껍질에 알을 낳아 번식 한다. 예전부터 우리나라에서 공예 장식품의 소재로 쓰여 왔으며, 가장 유명한 예는 신라시대(5세기초)부터 비단벌레의 날개를 생활에 이용하였다는 것을 황남대총, 금관총과 같은 큰 무덤에서 발굴된 말안장가리개, 발걸이, 허리띠 꾸미개등의 유물에서 발견할 수 있다.

특히 1973년 부터 1975년까지 황남대총에서 발굴된 말안장은 수천마리의 비단벌레 날개를 사용하였으며 천년의 시간이 흘렀음에도 아름다운 본래의 색깔을 원형 그래도 간작하고 있어 이세상을 놀라게 하였다.

신라문화 유적지를 찾는 관광객들과 경주시민들이 그 옛날 신라시대 월성 주변 숲속을 날아다니던 비단벌레를 연상하고 옛 선조들이 생활에 활용한 지혜를 재조명하기 위해서 신라의 유물이 가장 많이 분포하고 있는 첨성대를 중심으로 하는 동부사적지 일원에 비단벌레 전기자동차를 운행하고 있다.
(약 3km의 거리를 하루 11회 운행 / 최대 승차인원 15명)",경상북도 경주시 첨성로 149 (황남동),,"어른 4,000 / 군인, 청소년 3,000 / 어린이 2,000",,tourist_images/비단벌레_전기자동차.jpg
26,산내 동창천,"산내면은 경주시 힐링스팟 11곳 중 하나로 뽑힐 정도로 산에 둘러쌓인 청정지역이다.
산내 동창천은 물이 맑고 넓게 흐르며 공간이 넓어서 가족 여행하기에 좋게 되어있어 쉼터, 오토캠핑장, 펜션 등이 밀집되어있다. 
76m 인공폭포, 다슬기 생태 체험장 등도 마련되어 놀거리가 풍부하다.",경북 경주시 산내면 내일리 1782-1,,,,tourist_images/산내_동창천.jpg
27,서악서원,"서악서원은 흥선대원군의 서원철폐령 때에도 훼철되지 않은 47곳의 서원 중 한 곳이다.
보통 서원은 조선시대 성리학자의 위패를 모시는데, 서악서원은 독특하게 신라시대의 위인 김유신과 최치원, 설총의 위패를 모신다.
1563년 경주 부윤 이정이 세웠고, 이후 임진왜란으로 불타 소실된 것을 광해군 대에 중창했다.
국가가 인정한 사액서원으로 인조 원년에 ‘서악’이라는 이름을 받았다.

구조는 전형적인 전학후묘의 배치로, 서원에 들어서면 먼저 누각 ‘영귀루’와 마주한다.
영귀루와 마주하는 곳에 강당인 ‘시습당’이 자리하고 양쪽에 기숙공간인 동재 절차헌과 서재 조설헌이 배치되어 있다.
시습당 뒤쪽에 신라 세 위인의 위패를 모신 ‘묘우’가 있다.

서악서원은 문화재 활용이 아주 활발하게 이루어지는 곳이다.
고택스테이를 할 수 있고, 다도체험, 전통의복체험, 전통문화체험, 고택음악회 등 다양한 문화체험, 공연이 펼쳐진다.",경상북도 경주시 서악2길 23 (서악동),,,,tourist_images/서악서원.jpg
28,선덕여왕릉,"<!--p>선덕여왕릉으로 향하는 길. 낭산 정상에 있어 관람로 출발점에 자전거를 세워두고 선덕여왕릉까지는 도보로 이동한다.<br /></p-->낭산의 정상부로 오르면 솔숲 사이로 단아한 왕릉 1기가 모습을 드러낸다. 신라 제27대왕 선덕여왕의 능이다.&nbsp;<br />
<br />
삼국유사에서 표현하는 선덕여왕은 지혜의 여왕이었다.<br />
<br />
&lsquo;선덕여왕 지기삼사(善德王知幾三事)&rsquo;라는 제목으로 선덕여왕이 미리 알아차린 세 가지 일화를 소개했다.<br />
그 하나는 당 태종이 보낸 모란과 관련한 일화이다. 태종이 모란 그림과 씨앗을 보냈는데 선덕이 그림을 보고는 &ldquo;그 꽃에는 향기가 없을 것이다.&rdquo;라고 했다.<br />
씨앗을 심어 꽃이 필 때를 기다리니 정말 꽃은 향기가 나지 않았다.<br />
<br />
두 번째는 옥문지이야기이다.<br />
영묘사 앞 옥문지의 겨울, 난데없이 개구리들이 사흘 밤낮을 울었다.<br />
왕에게 고하자 선덕은 알천랑과 필탄랑에게 서쪽으로 가면 적의 군사가 있을 것이니 소탕하라 명했다.<br />
과연 서쪽 경계지역에 백제 병사 수백이 숨어 있어 이를 소탕했다.<br />
<br />
마지막으로 선덕은 본인이 죽는 날과 묻힐 자리를 예언했다.<br />
그는 자신이 죽으면 도리천에 묻어달라고 명했다. 신하들이 위치를 몰라 묻자 낭산의 남쪽이라고 말했다.<br />
신하들은 유언대로 그를 낭산에 묻었다.<br />
그로부터 33년 뒤, 문무왕이 낭산 기슭에 사천왕사를 지었다. 불교에서는 &lsquo;사천왕천 위에 도리천이 있다&rsquo;라고 했는데 사천왕천을 상징하는 사천왕사 위에 선덕여왕의 무덤이 있으니 바로 도리천이 되는 것이다.<br />
신하들은 그때야 선덕여왕의 유언을 깨닫고는 감탄했다고 한다.",경북 경주시 보문동 산79-2,정해진 시간 없음,무료,"선덕여왕릉 주차장(배반동 949-1, 무료) 이용",tourist_images/선덕여왕릉.jpg
29,성동시장,"염매시장으로 처음 시작한 성동시장은 지난 1971년 이후 현재의 위치에서 오늘에 이르고 있다.
시설 현대화로 깔끔하게 단장했고, 얼마 전 주차타워도 건립해 편의성을 높였다.

성동시장은 먹거리 천국이다. 김밥, 떡볶이, 순대, 튀김 등 발길 잡는 분식 먹거리를 파는 식당들이 모여 있는 분식골목이 인기이다.

성동시장 또 하나의 먹거리, 아지매들 손맛 승부 제대로 하는 한식뷔페촌도 빼놓을 수 없다.
반찬 십 수가지 골라 먹는 재미가 있고, 넉넉한 인심은 덤이다. 최근 내부 리모델링을 해 더욱 깔끔해졌다.
그 밖에도 성동시장은 골목별로 채소거리, 과일거리, 건어물거리, 수산물거리, 잡화거리 등 품목별로 상점들이 모여 있어 함께 둘러보기 좋다.",경주시 동문로 24번길 12,매일 07:00-20:00,,"성동시장 공영주차장(원화로 281번길11, 유료) 이용",tourist_images/성동시장.jpg
30,소노벨 경주 오션플레이,"오션플레이 경주는 사계절 내내 운영하는 테마 워터파크로 수(水)치료 개념을 도입한 바데풀, 웰빙 스파 시스템을 갖춘 실내 아쿠아존과
유수풀, 이벤트탕, 아쿠아 플레이존, 파도풀 시설을 갖춘 실외 아쿠아존으로 구성되어 있다.",경북 경주시 보문로 402-12 대명리조트 경주,,홈페이지 참조,,tourist_images/소노벨_경주_오션플레이.jpg
31,숭혜전,"숭혜전(崇惠殿) 건물내에는 신라 최초의 김씨 임금인 13대 미추왕과 삼국통일의 대업을 이룩한 30대 문무대왕, 그리고 신라 마지막 임금인 경순왕의 위패를 모셨다.
원래 신라 마지막 임금인 경순왕의 덕을 기리기 위하여 처음 월성에 사당을 지어 영정을 모시고 제향했으나, 조선 선조 25년(1592) 임진왜란으로 불타고 인조 5년(1627) 동천동에 새로 사당을 지어 동천묘라 하고 경순왕의 위패를 모셨다.
경종 3년(1723) 경순왕전으로 고치고 정조 18년(1794) 지금의 위치로 옮기고 황남전이라 고쳤다.
그 후 고종 24년(1887)에 미추왕의 위패를 모시고, 이듬해 문무대왕의 위패도 같이 모시게 되었다.
이때 고종황제가 사당을 크게 짓게 하고 숭혜전이라는 편액을 내렸다.
앞면 5칸, 옆면 3칸인 맞배집으로 왼쪽에 영육재(永育齋), 오른쪽에 경모재(敬慕齋)가 있다.
앞에는 경순왕 신도비와 비각이 있고, 길 건너에 계림세묘가 있다.",포석로1050번길 39-11 (황남동),,,,tourist_images/숭혜전.jpg
32,애니멀테마파크 주렁주렁,"신비한 이야기와 동물 친구들이 있는 곳으로 여러분을 초대합니다.
비밀의 숲을 탐험하며 동물 친구들을 가까이에서 직접 만나고 교감할 수 있는 국내 최초·최고의 애니멀 테마파크입니다.",엑스포로 80 (천군동 157-3),"11시부터 ~, 마감시간은 주렁주렁홈페이지 참고",전화문의,,tourist_images/애니멀테마파크_주렁주렁.jpg
33,오류캠핑장,"오류고아라해변의 송림에 조성된 국민여가캠핑장으로 경주시 시설관리공단에서 운영한다. 
시 직영 운영으로 관리가 잘 되어 있으며, 합리적인 가격으로 캠핑을 즐길 수 있어 인기가 좋다. 

우거진 송림 아래 설치된 독립형 트레일러(카라반)존과 야영을 할 수 있는 텐트 사이트 존으로 나뉜다. 

인근에 감포항과 송대말등대, 연동어촌체험마을 등 볼거리와 먹거리, 체험거리가 모여 있어 가족단위 바다여행을 하기에 안성맞춤이다.",경상북도 경주시 감포읍 감포로 382-7,"일반형, 대형 캐라반 : 당일 14:00 - 익일 11:00 야영장 : 당일 13:00 ~ 익일 13:00","일반형 카라반(6인 기준) : 성수기 주말 180,000원, 주중 150,000원 / 비수기 주말 105,000원, 주중 84,000원   대형 캐라반(6인 기준) : 성수기 주말 180,000원, 주중 150,000원 / 비수기 주말 120,000원, 주중 100,000원  야영장 (1면 6인기준) : 성수기 주말 35,000원, 주중 30,000 / 비수기 주말 30,000원, 주중 25,000원",,tourist_images/오류캠핑장.jpg
34,오봉산,"오봉산은 여근곡으로 해서 산을 타고 정상에 올라 부산성으로 내려오는 코스는 산세도 좋고 시원스러운 전망을 볼 수 있을 뿐만 아니라 천년 경주의 역사와 전설을 생각해볼 수 있는 길이다.
울퉁불퉁한 고갯길을 걸어 능선을 오르면 앞쪽으로는 부산성의 넓은 평원이 오른쪽으로는 정상이 보인다.
능선길을 조금더 가다 샛길로 올라서면 정상에 주사암이라는 작은 사찰이 있다.
주사암의 주차장으로 나와 오른쪽으로 내려서면 부산성에 이른다.
주사암은 의상대사가 창건한 절로 전해진다.

경주 일대에서는 가장 규모가 큰 부산성은 문무왕 3년(663)에 축성하였다.
경주에서 대구로 통하는 교통의 요충지가 되는데, 이 성을 축성하기 전인 선덕여왕 때 백제군이 산 아래 여근곡까지 침입했다가 토벌됐다는 이야기가 있다.
이로 미루어 볼 때 경주의 외곽 산성으로 서쪽에서 침입하는 적을 방어하기 위한 목적으로 쌓은 성으로 보인다.
이후 고려, 조선시대까지 계속 보수해가며 사용되어왔다.
낭도인 득오곡이 화랑 친구인 ‘죽지랑’을 기리며 지었다는  <모죽지랑가>에도 이 부산성이 등장한다.
*등산 코스 : 여근곡-월명사-오봉산 정상-부산성계곡 하산(약 3시간 소요)",경북 경주시 서면 천촌리 산 56,,,,tourist_images/오봉산.jpg
35,전촌항,"지난 2004년 정부의 어촌관광단지 조성 사업지구로 선정되어 관광어항으로 거듭나기 시작했다.
2009년에는 리모델링 사업을 진행하여 주차장, 광장, 바닥분수, 파고라, 정자, 나무데크산책로, 전망대 등을 갖췄다.
특히, 전촌항 전망대에서 내려다보는 평화로운 항구의 풍경이 인상적이다. 
방파제에 야간경관조명도 설치해 밤에도 아름답게 빛난다.

전촌항 입구의 말 조형물, 일명 ‘거마상’도 볼거리이다. 전촌항 일대는 말과 관련된 이야기가 많다.
전촌항 인근에 거마장이라는 마을이 있는데, 전촌항 북쪽 산세가 마치 말이 누워 있는 형국이라 하여 ‘거마산’이라 칭했다 전한다.
또, 신라 시대에는 왜군의 침임을 막기 위해 병마가 주둔해 있던 곳이라 하여 이 일대를 ‘거마장’이라 불렀다는 데에서 전촌항 인근의 ‘거마장 마을’ 지명이 유래했다.
전촌항과 멀지 않은 곳에는 해송림이 아름다운 해변 ‘전촌솔밭해변’이 있어 함께 산책하기 좋다.",경북 경주시 감포읍 전촌리 1245-11,,,"전촌항 공용주차장(전촌리 1245-11, 무료) 이용",tourist_images/전촌항.jpg
36,정글의법칙 미디어파크,"“정글의법칙” 미디어파크
TV를 넘어 세상을 새로운 기쁨으로 채워나가는 문화콘텐츠기업 SBS A&T가 선보이는
몰입형 미디어아트 “정글의 법칙”
모니터 프레임을 벗어나 상상 속 공간을 직접 걸으며 체험하는 새롭고 독특한 경험을 선사합니다.
미지의 정글로 떠나는 모험을 통해 마음속 잠자고 있는 탐험정신을 깨워보세요.",경주시 보문로 465-67,,,,tourist_images/정글의법칙_미디어파크.jpg
37,종오정 일원,"보문단지 인근의 손곡동 종오정은 여름 출사지로 유명한 곳이다.&nbsp;<br />
정자 앞의 작은 연못에 연꽃이 만발하고 연못 둘레에는 배롱나무가 어우러진다.&nbsp;<br />
<br />
종오정은 조선 영조 대 학자인 최치덕 선생의 유적지이다. 그에게 학문을 배우고자 한 제자들이 종오정과 귀산서사를 지었는데,&nbsp;<br />
이것이 오늘날의 종오정 일원이다. 연못 옆에 최치덕 선생이 심은 수령 300년의 향나무가 있고, 종오정 뜨락 오른편에 수령 250년의 측백나무가 있다.&nbsp;<br />
고택체험이 가능한 곳이라 고즈넉하게 하룻밤 묵어갈 수 있다.&nbsp;<br />
&nbsp;",경북 경주시 손곡3길 37-39,,,,
38,천군동 동서삼층석탑,"경주월드 건너편 천군동에 천군동 동서삼층석탑이 자리한다.
바로 길 건너편 경주월드에서 들리는 짜릿한 함성이 아주 먼발치인 듯 희미해 고요하고 평화로운 느낌을 준다. 

천군동 사지에 보물 제168호 천군동 동서 삼층석탑이 들녘 한 가운데 다정하게 서 있다.
통일신라시대의 전형적인 쌍탑 양식으로 이중 기단 위에 삼층의 몸돌을 올렸다.
동탑의 꼭대기 장식이 없는 것을 제외하고는 동탑과 서탑이 쌍둥이 같다. 단정하고 건실한 모습이다.",경주시 천군동 550-2,정해진 관람시간 없음,,전용 주차장 이용,tourist_images/천군동_동서삼층석탑.jpg
39,칠불암,"가파른 산비탈을 평지로 만들기 위해서 동쪽과 북쪽으로 높이 4m 가량되는 돌축대를 쌓아 불단을 만들고 이 위에 사방불 (四方佛)을 모셨으며, 1.74m의 간격을 두고 뒤쪽의 병풍바위에는 삼존불(三尊佛)을 새겼다.

삼존불은 중앙에 여래좌상을 두고 좌우에는 협시보살입상을 배치하였다.
화려한 연꽃 위에 앉아 있는 본존불은 미소가 가득 담긴 양감있는 얼굴과 풍만하고 당당한 자세를 통해 자비로운 부처님의 힘을 드러내고 있다.
왼쪽 어깨에만 걸치고 있는 옷은 몸에 그대로 밀착되어 굴곡을 실감나게 표현하고 있다.
손은 오른손을 무릎 위에 올려 손끝이 땅을 향하게 하고 왼손은 배부분에 대고 있는 모습이다.
좌우 협시보살은 크기가 같으며, 온몸을 부드럽게 휘감고 있는 옷을 입고 있다.
삼존불 모두 당당한 체구이며 조각수법이 뛰어나다.

다른 바위 4면에 새긴 사방불도 화사하게 연꽃이 핀 자리에 앉아 있는 모습으로 방향에 따라 손모양을 다르게 하고 있다.
원래 불상이 들어 앉을 공간을 만들고 그 안에 모셨을 것으로 추정되며, 현재도 이곳 주변에서 당시의 구조물을 짐작케 하는 기와조각들이 발견되고 있다.
조각 기법 및 양식적 특징으로 미루어 보아 이 칠불은 통일신라시대인 8세기에 만들어진 것으로 여겨진다.
남산 신선암 마애보살반가상
높이 1.4m의 마애보살반가상은 칠불암(七佛庵) 위에 곧바로 선 남쪽바위에 새겨져 있다.
마치 구름 위에 앉아 있는 것처럼 보이는데 머리에 삼면보관(三面寶冠)을 쓰고 있어서 보살상임을 알 수 있다.

얼굴은 풍만하고, 지그시 감은 두 눈은 깊은 생각에 잠긴 모습으로 구름 위의 세계에서 중생을 살펴보고 있는 듯하다.
오른손에는 꽃을 잡고 있으며, 왼손은 가슴까지 들어 올려서 설법하는 모양을 표현하고 있다.
천의(天衣)는 아주 얇아 신체의 굴곡이 사실적으로 드러나 보이며 옷자락들은 대좌(臺座)를 덮고 길게 늘어져 있다.
머리광배와 몸광배를 갖춘 광배 (光背) 자체를 불상이 들어 앉을 공간으로 이용했기 때문에 보살상이 더욱 두드러져 보이며, 통일신라시대 8세기 후반의 작품으로 보인다.",경상북도 경주시 칠불암길 201 (남산동),,,,tourist_images/칠불암.jpg
40,탈해왕릉,"경주 내에 있는 유일한 석씨 왕의 능이다. 탈해왕(이사금)은 많은 일화를 가진 왕이다.
바다 건너 용성국에서 온 이방인이었고, 궤짝의 황금알에서 태어난 난생설화를 가진 인물이다.

또, 철을 다룰 줄 알았던 그가 신라의 지배계급으로 편입되는 과정을 담은 유명한 일화가 있다.
동해안에서 살았던 탈해가 토함산에 올라 서라벌 땅을 내려다보며 살 집을 찾았다. 신라 중심부에 초승달 모양의 땅이 눈에 들어왔다.
초승달은 반달이 되고, 또 차올라 보름달이 되는 것처럼 복과 운이 차는 곳이라 하여 명당 중의 명당이라 여겨지는 터였다.
호공이라는 귀족의 땅이라는 것을 안 탈해는 기지를 하나 생각해냈다.
그의 집 근처에 숫돌과 숯을 묻어 두고는 당당하게 찾아가 ‘대장장이였던 우리 집안이 대대로 살던 곳이다.’라고 주장한 것.
호공은 황당해 하며 관아로 찾아가 시시비비를 따졌는데 이 행동이 오히려 독이 됐다.
증거를 대라는 관리의 말에 탈해는 집 주변에 선조들이 쓰던 숯과 숫돌이 묻혀 있을 거라고 말했고, 과연 물건이 나왔다. 반월성 집터는 탈해의 차지가 되었다.
이 사건을 들은 남해왕은 그가 총명한 인물이라는 것을 알아보고, 사위로 삼았다. 훗날 그는 남해왕의 아들이었던 유리왕의 뒤를 이어 제4대 왕이 되었다.

많은 이야기를 품은 탈해왕은 소금강산 초입 야트막한 구릉에 잠들어 있다.
높이 4.5m, 지름 14.3m의 둥글게 흙을 쌓아올린 원형 봉토무덤이다. 겉으로 보아 내부는 굴식돌방무덤(횡혈식석실묘)으로 추측된다.",경북 경주시 동천동 산 17,정해진 시간 없음,무료,"탈해왕릉 앞 공영주차장(동천동 510-1, 무료) 이용",tourist_images/탈해왕릉.jpg
41,포석정,"신라가 가장 번성했던 시기라고 알려진 신라 헌강왕 때에는 바람과 비가 때에 맞게 불고 내려 나라가 풍요로웠다.
또 수도 금성에서는 기와 처마가 줄을 이어 비 맞을 일이 없었다고 전한다.
포석정지도 신라 헌강왕 때 조성된 연회 장소로 전해진다.
신라의 가장 흥했던 시기에 조성되어 신라 쇠퇴까지의 역사가 깃들어 있다.

중국의 명필 왕희지는 친구들과 함께 물 위에 술잔을 띄워 술잔이 오는 동안 시를 읊고, 시를 짓지 못하면 벌주를 마시는 일종의 유희로 유상곡수연(流觴曲水宴)을 하였는데, 포석정은 이를 본 따 만들었다고 한다.
현재 정자는 없고 유상곡수연을 즐기던 물길 유배거만이 남아있다.
22m의 물길에는 6cm정도의 높낮이차가 있어 물이 돌도록 했다.
물길의 모양이 마치 전복의 모양과 같아 전복 포(鮑)자를 써서 포석정이라는 이름을 가졌다.

포석정은 경주의 유명한 가을명소이다.
포석정지의 번창했던 초록이 화려한 주홍빛으로 물들었다가 이내 떨어져 겨울을 준비하는 모습이 마치 신라의 흥망성쇠를 보는 듯도 하다.",경북 경주시 배동 454-1,09:00-18:00(동절기 17:00까지),"성인 2,000원 /군인 및 청소년 1,000원 / 어린이 500원",,tourist_images/포석정.jpg
42,황룡사지,"황룡사의 출발은 신라 진흥왕대로 거슬러 올라간다.
진흥왕 14년(553)에 경주 월성의 동쪽에 궁궐을 짓다가, 그 자리에서 누런 용이 나타났다.
이야기를 전해들은 왕은 절로 고쳐 짓기 시작해 17년 만에 절을 완공하였다.

이후 진평왕 6년(584)에는 인도에서 건너온 철과 금으로 만든 5m 높이의 거대한 삼존불상을 모시기 위해 금당을 지었다.
마지막으로 선덕여왕12년(643)에는 당나라에서 유학하고 돌아온 자장대사의 권유로 호국의지를 담아 9층 목탑을 짓기 시작했는데 백제의 장인 아비지에 의해 2년 만에 완성되었다.
황룡사는 장장 백여 년에 걸쳐 건립된 국찰이었으며, 동양 최대의 사찰로 이름을 떨쳤다.

아쉽게도 황룡사는 고려시대 몽골군의 침입으로 모두 불타 없어져 지금은 광활한 대지에 건물터와 주춧돌 일부만을 확인할 수 있다.
1976년부터 시작한 발굴조사에서 금동불입상, 금동귀걸이, 와당, 기와 등 4만여 점의 유물이 출토되었으며, 특히 높이 1.8m에 이르는 대형치미는 건물의 규모를 짐작하게 한다.
황룡사지를 거닐며 금당터에서, 80m가 넘는 높이를 자랑했던 황룡사9층목탑지에서 당대의 황룡사 위용을 그려보자.",경주시 구황동 320-2,정해진 관람시간 없음,무료,"황룡사지황룡사역사문화관 주차장(구황동 707, 무료) 이용",tourist_images/황룡사지.jpg
43,황성,"안동의 하회마을과 함께 한국의 역사마을로 지난 2010년 8월 세계문화유산에 등재되었다.
마을의 주산인 설창산의 봉우리에서 네 줄기로 능선과 골짜기가 뻗어 내려와 물(勿)자 형태를 이루고 있는데, 이 골짜기에 160여 호의 고와가(古瓦家)와 초가(草家)가 모여 있다.

양동은 월성 손씨와 여강 이씨의 자손들이 모여 사는 집성촌이다.
마을의 산세와 지세가 명당 중의 명당이라 예로부터 재물과 인재가 모여들었다 한다.
그를 증명하듯 조선시대에는 과거급제자가 116명이나 나왔고, 우재 손중돈 선생, 회재 이언적 선생 등 명망 있는 관료와 학자를 배출하기도 했다.

주요 고택으로는 회재 이언적 선생에게 왕이 하사한 집 '향단', 월성 손씨의 종택인 '서백당'(송첨종택), 회재 이언적 선생의 부친이 기거하던 집 '무첨당', 우재 손중돈 선생이 분가하여 살았던 '관가정'등이 있다.

매년 봄부터 가을까지 양동마을 전통문화의 보존과 활용을 위해 '양동마을 전통문화체험 프로그램'이 운영된다.",경상북도 경주시 강동면 양동마을길 138-18,09:00-19:00(10~3월 18:00까지),"성인 4,000원 / 청소년, 군인 2,000원 / 어린이 1,500원",전용 주차장(무료) 이용  ※ 자전거 및 반려동물 출입 금지,tourist_images/양동마을.jpg
44,황성공원,"황성공원은 도심 속 힐링 공간으로 경주시민과 관광객의 사랑을 지속적으로 받고 있다.
삼릉에 뒤지지 않는 멋스러운 소나무와 수 백 년 수령을 자랑하는 고목이 어우러져 울창한 숲을 이룬다.

여름이면 솔숲 산책로에 맥문동 군락이 조성되어 수려한 풍광을 더해주고,
가을이면 느티나무, 상수리나무, 떡갈나무 고목이 아늑하게 물든다.
황성공원 중간에 솟아오른 동산에 자리한 김유신 장군 기마상도 볼거리다.",경주시 원화로 431-12,,,"경주시립도서관 인근(황성동 371-2, 무료), 경주실내체육관 인근(황성동 1041-1) 이용",tourist_images/황성공원.jpg
45,흥덕왕릉,"흥덕왕릉을 꼭 찾아야 하는 이유는 확실하다.
천년의 사랑을 품은 능, 주인이 확실한 몇 안 되는 왕릉, 멋진 솔숲을 가진 곳.

왕릉이 품은 ‘천년의 사랑이야기’부터 시작하자.
당나라에 다녀온 사신이 앵무새 한 쌍을 가져왔다. 암컷이 이내 죽어버렸는데, 홀로 남은 수컷은 밤낮으로 슬피 울었다.
왕은 홀로 된 새 앞에 거울을 두게 했는데 새는 거울 속 제 모습을 짝인 줄 알고 거울을 쪼다가 자신인 것을 알고는 구슬프게 울다 죽어 버렸다.
수컷 앵무새와 왕은 닮은꼴이었다.
즉위한 지 1년도 채 되지 않아 왕비를 잃었다.
신하들은 다시 왕비를 얻으라고 간청했지만 왕은, ‘새도 제 짝을 잃고 저리 슬피 우는데, 훌륭한 부인을 잃은 내가 어찌 다시 결혼을 한다는 말인가?’라며 후처를 얻지 않았다.
왕은 평생 죽은 부인을 가슴에 품고 살다가 사랑하는 부인의 능에 함께 잠들었습니다.
흥덕왕의 이야기다. 

흥덕왕릉은 무열왕릉과 함께 왕릉 중에서도 주인을 완벽하게 알 수 있었던 능이다.
왕릉 한 쪽에 귀부가 남아 있는데, 비편 조각의 판독결과 이곳이 흥덕왕릉임을 알 수 있었다.
왕릉은 통일신라 이후의 전형적인 왕릉의 형태로 무인상 한쌍과 문인상 한쌍, 네 귀퉁이의 돌사자, 봉분 둘레에 십이지신이 새겨진 호석과 난간을 둘렀다.
아주 잘 갖추어진 통일신라 왕릉의 모습을 흥덕왕릉에서 확인할 수 있다.

마지막으로 솔숲. 삼릉에 견줄만한 안강형 소나무 솔숲이 이곳 흥덕왕릉 초입에도 조성되어 있다.
흥덕왕과 부인의 사랑이야기를 되뇌며 호젓하게 산책하기 좋다.",경주시 안강읍 육통리 산 42,정해진 시간 없음(야간 관람 어려움),무료,,tourist_images/흥덕왕릉.jpg
46,히어로 키즈파크,"용감한 어린이 히어로들이 모여 살고 있는 곳, ‘히어로키즈파크’는, 언제나 평화롭고 즐거움이 넘치는 곳이랍니다!
히어로 키즈파크에는 히어로들의 필수 능력인 꿈(Dream), 용기(Courage), 자신감(Confidence), 도전정신(Challenge) 을 상징하는 네 개의 히어로 존(Zone)이 있습니다.
각각의 히어로 존 마다 주어진 미션이 있는데, 바로 이 미션들을 통과하면 히어로가 될 수 있습니다.
이곳에는 용감한 꼬마 친구인, 루이와 헤이도 히어로 미션에 도전장을 내었답니다.
과연 히어로 키즈파크에서 히어로 존 미션을 통과하는 새로운 슈퍼 히어로는 누가 될까요? 여러분도 루이와 헤이와 함께 도전해 보세요.",경상북도 경주시 강변로 200,"월~금 : 10시 오픈 / 20시 마감(마지막 입장은 19:00까지 가능) 토, 일, 공휴일 : 10시 오픈 / 21시 마감(마지막 입장은 20:00까지 가능)","어린이 14,000 / 초과시 10분당 500원 / 경주시민 9,800원",,tourist_images/히어로_키즈파크.jpg
